P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,ENER,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
92,1,0.8056849999999969,1,176,30,10,514,58,58,0.046,56,11,56,62,92385.0,2970.0,500,Usada
92,1,0.8066859999999991,1,123,10,0,172,54,58,0.046,56,7,62,56,30500.0,930.475,533,Usada
92,1,0.8073047999999972,1,6,19,0,393,54,48,0.046,56,1,46,166,54870.0,1496.0,484,Usada
87,1,0.8081312999999994,1,336,52,30,616,64,84,0.046,56,30,78,89,212768.0,13150.0,479,Usada
87,1,0.8091780999999969,1,0,66,30,1182,62,56,0.046,56,1,54,1000,235674.0,8715.0,506,Usada
87,1,0.8107954999999976,1,16,4,0,38,55,105,0.046,56,2,95,125,9607.0,436.422,406,Usada
87,1,0.8117455000000007,1,134,15,0,190,56,79,0.044,56,11,72,82,50782.0,2168.0,473,Usada
87,1,0.8123725999999962,1,5,1,0,6,52,167,0.044,56,1,0,200,1647.0,183.404,404,Usada
92,1,0.8130159999999975,1,76,8,0,110,53,73,0.044,56,5,90,65,19032.0,630.757,571,Usada
92,1,0.8135789999999972,1,218,25,10,385,61,65,0.044,56,11,83,50,96716.0,5000.0,365,Usada
102,1,0.8138890999999973,2,16291,2375,3880,20000,85,119,0.28,71,1906,126,116,24241000.0,5956000.0,212,Usada
